Serial,Video name,Uploader / artist,Upload date
1,Gangnam Style,Psy,15/7/12
2,See You Again,Wiz Khalifa featuring Charlie Puth,6/4/15
3,Sorry,Justin Bieber,22/10/15
4,Uptown Funk,Mark Ronson featuring Bruno Mars,19/11/14
5,Blank Space,Taylor Swift,10/11/14
6,Masha and the Bear,Get Movies,31/1/12
7,Shake It Off,Taylor Swift,18/8/14
8,Bailando,Enrique Iglesias featuring Descemer Bueno and Gente De Zona,11/4/14
9,Hello,Adele,22/10/15
10,Lean On,Major Lazer and DJ Snake featuring MO,22/3/15
11,Roar,Katy Perry,5/9/13
12,Wheels on the Bus,LittleBabyBum,9/8/14
13,Sugar,Maroon 5,14/1/15
14,All About That Bass,Meghan Trainor,11/6/14
15,Dark Horse,Katy Perry featuring Juicy J,20/2/14
16,Counting Stars,OneRepublic,31/5/13
17,Baby,Justin Bieber featuring Ludacris,19/2/10
18,Chandelier,Sia,6/5/14
19,What Do You Mean?,Justin Bieber,30/8/15
20,Thinking Out Loud,Ed Sheeran,7/10/14
21,Love Me Like You Do,Ellie Goulding,22/1/15
22,Work from Home,Fifth Harmony featuring Ty Dolla $ign,26/2/16
23,Let Her Go,Passenger,25/7/12
24,Waka Waka (This Time for Africa),Shakira featuring Freshlyground,4/6/10
25,Worth It,Fifth Harmony featuring Kid Ink,28/3/15
26,Love the Way You Lie,Eminem featuring Rihanna,5/8/10
27,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,8/3/11
28,This Is What You Came For,Calvin Harris featuring Rihanna,16/6/16
29,Wake Me Up,Avicii,29/7/13
30,Watch Me (Whip/Nae Nae),Silento,25/6/15
31,Rude,Magic!,5/12/13
32,Propuesta Indecente,Romeo Santos,9/9/13
33,Hotline Bling,Drake,26/10/15
34,Ay Vamos,J. Balvin,29/8/14
35,Closer (Lyric video),The Chainsmokers featuring Halsey,29/7/16
35,Love Yourself,Justin Bieber,14/11/15
36,Rolling in the Deep,Adele,30/11/10
38,Summer,Calvin Harris,6/4/14
39,The Lazy Song,Bruno Mars,15/4/11
40,Burn,Ellie Goulding,7/7/13
41,Johny Johny Yes Papa,ChuChu TV,14/11/14
42,Gentleman,Psy,13/4/13
43,All of Me,John Legend,2/10/13
44,On the Floor,Jennifer Lopez featuring Pitbull,3/3/11
45,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,29/8/12
46,Bad Blood,Taylor Swift featuring Kendrick Lamar,17/5/15
47,The Hills,The Weeknd,27/5/15
48,Let It Go Sing-along,Idina Menzel,30/1/14
49,Hey Mama,David Guetta featuring Nicki Minaj Bebe Rexha and Afrojack,19/5/15
50,Hasta el Amanecer,Nicky Jam,14/1/16
51,Problem,Ariana Grande featuring Iggy Azalea,30/5/14
52,How Deep Is Your Love,Calvin Harris featuring Disciples,6/8/15
53,Animals,Martin Garrix,17/6/13
54,Diamonds,Rihanna,8/11/12
55,Happy,Pharrell Williams,21/11/13
56,Call Me Maybe,Carly Rae Jepsen,1/3/12
57,El Pollito Pio,Pulcino Pio,29/11/12
58,Faded,Alan Walker,3/12/15
59,Timber,Pitbull featuring Ke$ha,25/11/13
60,The Gummy Bear Song,Gummibar,9/10/07
61,Not Afraid,Eminem,4/6/10
62,Wrecking Ball,Miley Cyrus,9/9/13
63,Danza Kuduro,Don Omar featuring Lucenzo,11/8/10
64,Darte un Beso,Prince Royce,20/8/13
65,Last Friday Night (T.G.I.F),Katy Perry,12/6/11
66,Somebody That I Used to Know,Gotye featuring Kimbra,5/7/11
67,Just the Way You Are,Bruno Mars,8/9/10
68,Firework,Katy Perry,28/10/10
69,Picky,Joey Montana,29/6/15
70,Charlie Bit My Finger,HDCYT,22/5/07